Available,Price,Address,Link
Now,$490,"268a Pine Valley Road, Dairy Flat, Rodney",https://www.trademe.co.nz/a/property/residential/rent/auckland/rodney/dairy-flat/listing/3836306041?rsqid=0949aecea408407f86a60653fac77174-001
Now,$490,"3/9 Wilks Road, Dairy Flat, Rodney",https://www.trademe.co.nz/a/property/residential/rent/auckland/rodney/dairy-flat/listing/3844098917?rsqid=0949aecea408407f86a60653fac77174-001
Now,$530," Wilks Road, Dairy Flat, Rodney",https://www.trademe.co.nz/a/property/residential/rent/auckland/rodney/dairy-flat/listing/3618169396?rsqid=0949aecea408407f86a60653fac77174-001
Now,$490,"210A Lake Road, Northcote, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/northcote/listing/3860014233?rsqid=9f86cc92a21743c680f5f16f23446705-001
"Thu, 15 Dec",$520,"8/54 Carolina Place, Albany, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/albany/listing/3853074645?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$510,"Murrays Bay, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/murrays-bay/listing/3852393545?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$530,"Northcote, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/northcote/listing/3852229543?rsqid=9f86cc92a21743c680f5f16f23446705-001
"Mon, 21 Nov",$450,"13A Peter Terrace, Castor Bay, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/castor-bay/listing/3843084003?rsqid=9f86cc92a21743c680f5f16f23446705-001
"Mon, 5 Dec",$550,"10 Quebec Rd, Milford, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/milford/listing/3853519582?rsqid=9f86cc92a21743c680f5f16f23446705-001
"Fri, 25 Nov",$500,"1D Park Ave, Birkenhead, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/birkenhead/listing/3841194992?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$515,"3/53 The Avenue, Albany, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/albany/listing/3837876352?rsqid=9f86cc92a21743c680f5f16f23446705-001
"Sun, 4 Dec",$490,"5/221-223 Dairy Flat H'way 17, Albany, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/albany/listing/3837183632?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$480,"34B Cheval Drive, Glenfield, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/glenfield/listing/3836836507?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$480,"21a Wye Oak Drive, Albany, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/albany/listing/3833477570?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$550,"260A Wairau Road, Glenfield, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/glenfield/listing/3828949377?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$500,"30 Kewa Road, Albany, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/albany/listing/3824841294?rsqid=9f86cc92a21743c680f5f16f23446705-001
"Fri, 18 Nov",$500,"28B Diana Drive, Glenfield, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/glenfield/listing/3824790249?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$550,"Flat/10 Westwell Road, Belmont, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/belmont/listing/3824273923?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$530,"2/17 Scarboro Terrace, Murrays Bay, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/murrays-bay/listing/3820082851?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$530,"2/17 Scarboro Terrace, Murrays Bay, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/murrays-bay/listing/3820080978?rsqid=9f86cc92a21743c680f5f16f23446705-001
Now,$520,"1/31 Park Hill Rd, Birkenhead, North Shore City",https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/birkenhead/listing/3815364647?rsqid=9f86cc92a21743c680f5f16f23446705-001
